,id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,from,from_id,reply_to_message_id,photo,photo_file_size,width,height,edited,edited_unixtime,reactions,inviter,members,file,file_name,file_size,thumbnail,thumbnail_file_size,mime_type,location_information,forwarded_from,media_type,sticker_emoji,duration_seconds,poll,via_bot,place_name,address,message_id
41,42,message,2022-09-22T11:12:13,1663837933,,,,,Wirtschaftsingenieurwesen,"[{'type': 'plain', 'text': 'Wirtschaftsingenieurwesen'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,message,2022-09-22T11:12:24,1663837944,,,,,она же нужна для enrolment,"[{'type': 'plain', 'text': 'она же нужна для enrolment'}]",Ange,user1111943893,41.0,,,,,2022-09-22T11:12:37,1663837957,"[{'type': 'emoji', 'count': 2, 'emoji': '👍', 'recent': [{'from': 'Nikolai Sokolov', 'from_id': 'user675316591', 'date': '2022-09-22T12:53:39'}, {'from': 'alina', 'from_id': 'user481369631', 'date': '2022-09-22T11:12:37'}]}]",,,,,,,,,,,,,,,,,,
43,44,message,2022-09-22T13:01:22,1663844482,,,,,"Не обязательно, можно на сайте просто по дате приезда настроить","[{'type': 'plain', 'text': 'Не обязательно, можно на сайте просто по дате приезда настроить'}]",Magz,user922135560,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,message,2022-09-22T13:02:03,1663844523,,,,,"Потом по приезду, даже без карточки ты официально уже застрахована. Можешь идти к доктору смело","[{'type': 'plain', 'text': 'Потом по приезду, даже без карточки ты официально уже застрахована. Можешь идти к доктору смело'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,message,2022-09-22T13:03:39,1663844619,,,,,Спасибо! А в какой компании по дате приезда можно?,"[{'type': 'plain', 'text': 'Спасибо! А в какой компании по дате приезда можно?'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,message,2022-09-22T13:03:52,1663844632,,,,,dak,"[{'type': 'plain', 'text': 'dak'}]",Ange,user1111943893,,,,,,2022-09-22T13:03:55,1663844635,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': 'Evgenia', 'from_id': 'user5666393736', 'date': '2022-09-22T13:03:55'}]}]",,,,,,,,,,,,,,,,,,
47,48,message,2022-09-22T13:04:01,1663844641,,,,,TK,"[{'type': 'plain', 'text': 'TK'}]",Magz,user922135560,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,message,2022-09-22T13:04:09,1663844649,,,,,Вроде у всех так,"[{'type': 'plain', 'text': 'Вроде у всех так'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,message,2022-09-22T13:04:24,1663844664,,,,,Просто настройки на сайте экспатрио/финтиба,"[{'type': 'plain', 'text': 'Просто настройки на сайте экспатрио/финтиба'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,message,2022-09-22T13:04:41,1663844681,,,,,coracle😁,"[{'type': 'plain', 'text': 'coracle😁'}]",Zholdas,user611321815,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,message,2022-09-22T13:05:22,1663844722,,,,,"Что-то я думала там по месяцам оплата и всё.. С ноября, с декабря например","[{'type': 'plain', 'text': 'Что-то я думала там по месяцам оплата и всё.. С ноября, с декабря например'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,message,2022-09-22T13:06:16,1663844776,,,,,"Так и есть, но они подсчитают сколько ты должна за неполный  месяц, не беспокойся","[{'type': 'plain', 'text': 'Так и есть, но они подсчитают сколько ты должна за неполный  месяц, не беспокойся'}]",Magz,user922135560,,,,,,2022-09-22T13:06:27,1663844787,,,,,,,,,,,,,,,,,,,
53,54,message,2022-09-22T13:07:22,1663844842,,,,,"Ясно, спасибо","[{'type': 'plain', 'text': 'Ясно, спасибо'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,message,2022-09-22T14:36:16,1663850176,,,,,Ты можешь через expatrio выбрать мед страховку и активировать ее когда прилетишь,"[{'type': 'plain', 'text': 'Ты можешь через expatrio выбрать мед страховку и активировать ее когда прилетишь'}]",Aza Natürlich,user1197228025,41.0,,,,,2022-09-22T14:37:49,1663850269,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': 'Людмила', 'from_id': 'user2021223546', 'date': '2022-09-22T14:37:49'}]}]",,,,,,,,,,,,,,,,,,
55,56,message,2022-09-23T09:45:43,1663919143,,,,,"Ребят, привет) 
Такой вопрос - если кто-то уже получил визу, сколько вы ее ждали?","[{'type': 'plain', 'text': 'Ребят, привет) \nТакой вопрос - если кто-то уже получил визу, сколько вы ее ждали?'}]",Victoria,user136236602,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,message,2022-09-23T09:46:37,1663919197,,,,,"Привет, я подал доки на визу 17.08, окончательно визу получил 20.09","[{'type': 'plain', 'text': 'Привет, я подал доки на визу 17.08, окончательно визу получил 20.09'}]",Zholdas,user611321815,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,message,2022-09-23T09:48:33,1663919313,,,,,Спасибо!,"[{'type': 'plain', 'text': 'Спасибо!'}]",Victoria,user136236602,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,message,2022-09-23T09:53:13,1663919593,,,,,А когда едешь забирать знаешь виза открыта или нет? Или это сюрприз? 😆,"[{'type': 'plain', 'text': 'А когда едешь забирать знаешь виза открыта или нет? Или это сюрприз? 😆'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,message,2022-09-23T10:09:47,1663920587,,,,,"Нет, не знаешь)","[{'type': 'plain', 'text': 'Нет, не знаешь)'}]",Evgenia,user5666393736,59.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,message,2022-09-26T08:39:16,1664174356,,,,,"всем привет, кто сегодня на ориентэйшн дэй оффлайн идёт?","[{'type': 'plain', 'text': 'всем привет, кто сегодня на ориентэйшн дэй оффлайн идёт?'}]",Ange,user1111943893,,,,,,2022-09-28T13:02:04,1664362924,,,,,,,,,,,,,,,,,,,
62,63,message,2022-09-26T08:45:43,1664174743,,,,,+,"[{'type': 'plain', 'text': '+'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,message,2022-09-26T08:45:48,1664174748,,,,,Мы уже в кабинете,"[{'type': 'plain', 'text': 'Мы уже в кабинете'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,message,2022-09-26T08:46:04,1664174764,,,,,а где этот кабинет?,"[{'type': 'plain', 'text': 'а где этот кабинет?'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,message,2022-09-26T08:46:12,1664174772,,,,,я только что пришла мне сказали итальяно,"[{'type': 'plain', 'text': 'я только что пришла мне сказали итальяно'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,message,2022-09-26T08:46:15,1664174775,,,,,и я ушла,"[{'type': 'plain', 'text': 'и я ушла'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,message,2022-09-26T08:46:16,1664174776,,,,,ахахахаха,"[{'type': 'plain', 'text': 'ахахахаха'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,message,2022-09-26T08:46:21,1664174781,,,,,"В здании I, на первый этаж поднимайся","[{'type': 'plain', 'text': 'В здании I, на первый этаж поднимайся'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,message,2022-09-26T08:46:25,1664174785,,,,,По лестнице,"[{'type': 'plain', 'text': 'По лестнице'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,message,2022-09-26T08:46:30,1664174790,,,,,наверх?,"[{'type': 'plain', 'text': 'наверх?'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,message,2022-09-26T08:46:33,1664174793,,,,,Да,"[{'type': 'plain', 'text': 'Да'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,message,2022-09-26T08:46:43,1664174803,,,,,Ты на Erdgeschoss получается,"[{'type': 'plain', 'text': 'Ты на Erdgeschoss получается'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,message,2022-09-26T08:46:48,1664174808,,,,,А надо на 1,"[{'type': 'plain', 'text': 'А надо на 1'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,message,2022-09-26T08:46:49,1664174809,,,,,а какой кабинет?,"[{'type': 'plain', 'text': 'а какой кабинет?'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,message,2022-09-26T08:46:53,1664174813,,,,,аааа,"[{'type': 'plain', 'text': 'аааа'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,message,2022-09-26T08:46:58,1664174818,,,,,106 кажется,"[{'type': 'plain', 'text': '106 кажется'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,message,2022-09-26T09:38:46,1664177926,,,,,"Я только прилетел в мюнхен, не успею приехать","[{'type': 'plain', 'text': 'Я только прилетел в мюнхен, не успею приехать'}]",iPhonein,user691842768,62.0,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,message,2022-09-26T09:39:02,1664177942,,,,,"Надо еще понять, на каком bahn ехать на вокзал","[{'type': 'plain', 'text': 'Надо еще понять, на каком bahn ехать на вокзал'}]",iPhonein,user691842768,,,,,,2022-09-26T09:39:46,1664177986,,,,,,,,,,,,,,,,,,,
79,80,message,2022-09-26T09:39:25,1664177965,,,,,скачай DB Navigator,"[{'type': 'plain', 'text': 'скачай DB Navigator'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,message,2022-09-26T09:39:36,1664177976,,,,,Он есть,"[{'type': 'plain', 'text': 'Он есть'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,message,2022-09-26T09:39:45,1664177985,,,,,Там или S1 или S8,"[{'type': 'plain', 'text': 'Там или S1 или S8'}]",iPhonein,user691842768,,,,,,2022-09-26T10:38:53,1664181533,,,,,,,,,,,,,,,,,,,
82,83,message,2022-09-26T09:54:34,1664178874,,,,,Кто то живет в Studentenpark 2?,"[{'type': 'plain', 'text': 'Кто то живет в Studentenpark 2?'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,message,2022-09-26T11:45:35,1664185535,,,,,Вы симку покупали как?,"[{'type': 'plain', 'text': 'Вы симку покупали как?'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,message,2022-09-26T11:45:53,1664185553,,,,,Мне сказали без Aufschrift нельзя,"[{'type': 'plain', 'text': 'Мне сказали без Aufschrift нельзя'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,message,2022-09-26T11:47:16,1664185636,,,,,"Я, конечно, пока еще не приехала. Но prepaid симку всегда можно было покупать просто так. На первое время, допустим","[{'type': 'plain', 'text': 'Я, конечно, пока еще не приехала. Но prepaid симку всегда можно было покупать просто так. На первое время, допустим'}]",Victoria,user136236602,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,message,2022-09-26T11:47:30,1664185650,,,,,У них их нет в наличии пока,"[{'type': 'plain', 'text': 'У них их нет в наличии пока'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,message,2022-09-26T11:48:08,1664185688,,,,,Симкарту с договором вроде нельзя без банковской карточки купить,"[{'type': 'plain', 'text': 'Симкарту с договором вроде нельзя без банковской карточки купить'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,message,2022-09-26T11:49:38,1664185778,,,,,До Деггендорфа надо добираться на RE поездах? На них билеты как и на обычные S bahn покупаются?,"[{'type': 'plain', 'text': 'До Деггендорфа надо добираться на RE поездах? На них билеты как и на обычные S bahn покупаются?'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,message,2022-09-26T11:50:29,1664185829,,,,,"Можно по Bayern Ticket, если по этому билету, то только на региональных поездах","[{'type': 'plain', 'text': 'Можно по Bayern Ticket, если по этому билету, то только на региональных поездах'}]",Evgenia,user5666393736,89.0,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,message,2022-09-26T11:50:52,1664185852,,,,,Ок спасибо,"[{'type': 'plain', 'text': 'Ок спасибо'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,message,2022-09-26T12:12:08,1664187128,,,,,"Идешь в лидл, нетто, или любой супермаркет","[{'type': 'plain', 'text': 'Идешь в лидл, нетто, или любой супермаркет'}]",Magz,user922135560,84.0,,,,,2022-09-30T15:06:21,1664543181,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': '𝙱𝙾𝙶𝙳𝙰𝙽 𝙽.', 'from_id': 'user112971508', 'date': '2022-09-30T15:06:22'}]}]",,,,,,,,,,,,,,,,,,
92,93,message,2022-09-26T12:12:13,1664187133,,,,,И покупаешь припейд,"[{'type': 'plain', 'text': 'И покупаешь припейд'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,message,2022-09-26T12:24:32,1664187872,,,,,А его можно купить в автоматах?,"[{'type': 'plain', 'text': 'А его можно купить в автоматах?'}]",iPhonein,user691842768,90.0,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,message,2022-09-26T12:24:38,1664187878,,,,,Или только из приложения,"[{'type': 'plain', 'text': 'Или только из приложения'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,message,2022-09-26T12:24:45,1664187885,,,,,?,"[{'type': 'plain', 'text': '?'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,message,2022-09-26T12:25:18,1664187918,,,,,вроде можно,"[{'type': 'plain', 'text': 'вроде можно'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,message,2022-09-26T12:25:50,1664187950,,,,,в худшем случае билет с мюнхена до ПАН стоит чуток дешевле,"[{'type': 'plain', 'text': 'в худшем случае билет с мюнхена до ПАН стоит чуток дешевле'}]",Magz,user922135560,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,message,2022-09-26T12:26:17,1664187977,,,,,Можно,"[{'type': 'plain', 'text': 'Можно'}]",Evgenia,user5666393736,94.0,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,message,2022-09-26T12:26:31,1664187991,,,,,В автомате раздел DB Fahrscheine,"[{'type': 'plain', 'text': 'В автомате раздел DB Fahrscheine'}]",Evgenia,user5666393736,94.0,,,,,2022-09-26T12:30:40,1664188240,,,,,,,,,,,,,,,,,,,
101,102,message,2022-09-27T08:50:40,1664261440,,,,,"привет 
откуда скачать Immatrikulationsbescheinigung?","[{'type': 'plain', 'text': 'привет \nоткуда скачать Immatrikulationsbescheinigung?'}]",alina,user481369631,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103,message,2022-09-27T08:51:12,1664261472,,,,,"['Заходите на этот сайт:\n\n', {'type': 'link', 'text': 'https://www.primuss.de/portal-thd'}, '\n\nВводите ваш логин и пароль, после этого заходите в раздел My study -> notifications -> Certificate of registration']","[{'type': 'plain', 'text': 'Заходите на этот сайт:\n\n'}, {'type': 'link', 'text': 'https://www.primuss.de/portal-thd'}, {'type': 'plain', 'text': '\n\nВводите ваш логин и пароль, после этого заходите в раздел My study -> notifications -> Certificate of registration'}]",Nurzhan Kussain,user382852043,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,message,2022-09-27T08:51:56,1664261516,,,,,аа спасибо!!,"[{'type': 'plain', 'text': 'аа спасибо!!'}]",alina,user481369631,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,message,2022-09-27T17:30:49,1664292649,,,,,Кто-то есть уже на интернешнл диннер?,"[{'type': 'plain', 'text': 'Кто-то есть уже на интернешнл диннер?'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106,message,2022-09-27T17:30:59,1664292659,,,,,как попасть внутрь😅,"[{'type': 'plain', 'text': 'как попасть внутрь😅'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,message,2022-09-27T17:31:41,1664292701,,,,,А где проходит?,"[{'type': 'plain', 'text': 'А где проходит?'}]",Temir,user404658286,105.0,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,message,2022-09-27T17:31:50,1664292710,,,,,studebtenviertel,"[{'type': 'plain', 'text': 'studebtenviertel'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,message,2022-09-27T17:32:45,1664292765,,,,,Что это?,"[{'type': 'plain', 'text': 'Что это?'}]",iPhonein,user691842768,105.0,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,message,2022-09-27T17:33:07,1664292787,,,,,Я в центре города хожу,"[{'type': 'plain', 'text': 'Я в центре города хожу'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111,message,2022-09-27T17:33:15,1664292795,,,,,Точнее с какой целью он проводиться,"[{'type': 'plain', 'text': 'Точнее с какой целью он проводиться'}]",iPhonein,user691842768,109.0,,,,,,,,,,,,,,,,,,,,,,,,,
111,112,message,2022-09-27T17:52:25,1664293945,,,,,Мб чисто для тех кто в дорме,"[{'type': 'plain', 'text': 'Мб чисто для тех кто в дорме'}]",Aza Natürlich,user1197228025,111.0,,,,,2022-09-27T17:52:32,1664293952,,,,,,,,,,,,,,,,,,,
112,113,message,2022-09-28T07:54:13,1664344453,,,,,"нет, я на вг живу","[{'type': 'plain', 'text': 'нет, я на вг живу'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
113,115,message,2022-09-28T13:57:45,1664366265,,,,,В Rathaus для Anmeldung нужно заранее записываться онлайн?,"[{'type': 'plain', 'text': 'В Rathaus для Anmeldung нужно заранее записываться онлайн?'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
114,116,message,2022-09-28T13:59:59,1664366399,,,,,В Bürgeramt,"[{'type': 'plain', 'text': 'В Bürgeramt'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
115,117,message,2022-09-28T14:00:02,1664366402,,,,,Да,"[{'type': 'plain', 'text': 'Да'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
116,118,message,2022-09-28T14:00:19,1664366419,,,,,,[],Temir,user404658286,,(File not included. Change data exporting settings to download.),56974.0,591.0,1280.0,2022-09-30T11:51:48,1664531508,,,,,,,,,,,,,,,,,,,
117,119,message,2022-09-28T14:00:30,1664366430,,,,,Какой пункт надо выбрать? Это же на этом сайте делается?,"[{'type': 'plain', 'text': 'Какой пункт надо выбрать? Это же на этом сайте делается?'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
118,120,message,2022-09-28T14:00:44,1664366444,,,,,Zuzug von einem Wohnsitz im Ausland,"[{'type': 'plain', 'text': 'Zuzug von einem Wohnsitz im Ausland'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
119,121,message,2022-09-28T14:01:04,1664366464,,,,,Ок и надо принести с собой с места жительства контракт и паспорт?,"[{'type': 'plain', 'text': 'Ок и надо принести с собой с места жительства контракт и паспорт?'}]",Temir,user404658286,,,,,,,,,,,,,,,,,,,,,,,,,,
120,122,message,2022-09-28T14:01:32,1664366492,,,,,"Не совсем контракт, там специальная бумажка, которая заполняется арендодателем","[{'type': 'plain', 'text': 'Не совсем контракт, там специальная бумажка, которая заполняется арендодателем'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
